"ID","SequenceNumber","NEWLOC","DEPOSIT","REFNAME","DESC_CHANGE","DATE_CHANGE","BASIS_CHANGE","RESEARCHER","ADD_NOTES","CLEANUP_Y_","Query_or_Sort","PreviousDatabseName"
132,"EC0067","EC0067","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
133,"EC0078","EC0078","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
134,"EC0203p","EC0203","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
135,"EC0373",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
136,"EC0499p","EC0499","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
137,"EC0514p","EC0514","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
138,"EC0517",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
139,"EC0520p","EC0520","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
140,"EC0540p","EC0540","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
141,"EC0602p","EC0602","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
142,"EC0632p","EC0632","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
143,"EC0635p","EC0635","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
144,"EC0642p","EC0642","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
145,"EC0648",,"Grouse Creek Placer (Gross Creek Placer)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
146,"EC0652","EC0652","French Creek (Deleted as per discussion with J. Ridenour 11/22/93)",,"Deleted from Mines table. Cascade delete is in effect!","20141119","French Creek (Deleted as per discussion with J. Ridenour 11/22/93)","CAT",,"Y","Sort A-Z Mines table lon_WGS84 field","MinesAndProspects_BrainSaladSurgery_CAT_20141119_CURRENT_0700"
147,"EC0660p","EC0660","placer production",," Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
148,"EC0684p","EC0684","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
149,"EC0732p","EC0732","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
150,"EC0749p","EC0749","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
151,"EC0761p","EC0761","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
152,"EC0783p","EC0783","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
153,"EC0789p","EC0789","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
154,"EC1175p","EC1175","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
155,"EC1185p","EC1185","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
156,"EC1255",,"Dawson-Hugo/M & E Claims (B7149904)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
157,"EC1257",,"Unnamed Prospect (B7159906)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
158,"EC1258",,"Unnamed Prospect (B7159907)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
159,"EC1259",,"Republican Mine (B7159910)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
160,"EC1260",,"Penn-Dixie Mine, Upper Adit (B7169901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
161,"EC1261",,"Juanita No. 5 (Dixie Chief Mine; Portland Group; Blue Bucket; Unnamed Prospect B7139903)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
162,"EC1262",,"Aziscoos (Unnamed Prospect B7169904)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
163,"EC1263",,"Unnamed Mine (B7169906)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
164,"EC1264",,"Gold Bug Mine (Gold Bug-Trinity; G.M. Claim Group; Goldbug)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
165,"EC1265",,"Unnamed Mine (E5179901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
166,"EC1266",,"Unnamed Site (E5309901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
167,"EC1267",,"Unnamed Prospect (E5319907)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
168,"EC1268",,"Unnamed Prospect (E6049901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
169,"EC1269",,"Unnamed Mine (E6069901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
170,"EC1272",,"Unnamed Prospect (E7029907)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
171,"EC1273",,"Unnamed Prospect (E7029908)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
172,"EC1274",,"Unnamed Prospect (E7039901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
173,"EC1275",,"Unnamed Mine (E7069906)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
174,"EC1276",,"Unnamed Prospects (E7269901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
175,"EC1277",,"Unnamed Mine (8109901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
176,"EC1278",,"Red River Quarry (E8149901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
177,"EC1279",,"Unnamed Shaft (E8179910)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
178,"EC1280",,"Ajax Mine (E8209901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
179,"EC1282",,"Rainy Day Creek Prospect (K7070001)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
180,"EC1283",,"Rob Roy",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
181,"EC1284",,"Liberty Bell",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
182,"EC1285","EC0038","Little Butte",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
183,"EC1286","EC0074","Mt. Carmel; Riverside",,"Deleted from Mines and MineIndex tables","20141111","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
184,"EC1287","EC0074","Prince Mine",,"Deleted from Mines and MineIndex tables","20141111","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
185,"EC1288","EC0088","Skvar",,"Deleted from Mines and MineIndex tables","20141111","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
186,"EC1288n",,"Skvar",,"Added property to Mines and MinesIndex tables","20141125","Distinct lat/lon from NEWLOC associated property","CAT",,"Y",,"MinesAndProspects_BrainSaladSurgery_CAT_20141124_CURRENT_1200_backup"
187,"EC1289","EC0104","Regina (Crooked River Mining & Milling)",,"Deleted from Mines and MineIndex tables","20141111","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
188,"EC1290","EC0130","Phoenix Fraction",,"Deleted from Mines and MineIndex tables","20141111","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
189,"EC1290n",,"Phoenix Fraction",,"Added property to Mines and MinesIndex tables","20141125","Distinct lat/lon from NEWLOC associated property","CAT",,"Y",,"MinesAndProspects_BrainSaladSurgery_CAT_20141124_CURRENT_1200_backup"

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
